Height	Latitude	Longitude	Railway_peg	Slope
150.541	44.71991262327493	39.947966077193755	6348	5.6
150.703	44.71955030661431	39.94832832512768	6400	3.3
150.927	44.71917967709801	39.94869787297275	6449	4.5
151.136	44.71880846301406	39.94906858762427	6500	4.1
151.268	44.71844618090299	39.94943007639603	6551	2.7
151.472	44.7180796108918	39.949796167932895	6600	4.0
151.683	44.71771014986572	39.95016510812473	6650	4.2
151.892	44.71734746889137	39.95052666591024	6700	4.3
152.065	44.716978901547684	39.95089419252651	6749	3.5
152.336	44.716585345859016	39.95128786720443	6800	5.0
152.524	44.71624641558922	39.95162526183328	6854	3.9
152.774	44.71590543359611	39.95196675277173	6900	5.3
153.075	44.71551334545003	39.952357938321164	6947	5.8
153.199	44.71509661727776	39.95277403962276	7000	2.1
153.394	44.71477798081042	39.95309216392191	7057	4.4
153.673	44.714432220008014	39.953437091849935	7100	6.0
153.910	44.714050593581675	39.95381844261074	7147	4.5
154.063	44.713684337403855	39.95418400570061	7200	3.0
154.267	44.71331794197464	39.954548228881585	7250	4.2
154.443	44.712967301137304	39.95489834946184	7300	3.5
154.553	44.71258408282458	39.95528035262417	7348	2.1
154.574	44.71224837256995	39.9556159143441	7400	0.4
154.680	44.71185087095299	39.956012938402154	7446	2.0
154.94	44.71121	39.95672	7600	4.1
155.24	44.71040	39.95757	7700	4.1
155.39	44.70969	39.95828	7800	4.1
155.51	44.70895	39.95897	7900	4.1
155.66	44.70823	39.95972	8000	4.1
155.78	44.70746	39.96042	8100	4.1
156.06	44.70664	39.96124	8200	4.1
156.37	44.70581	39.96210	8300	2.4
156.63	44.70506	39.96284	8400	2.4
156.90	44.70432	39.96360	8500	3.1
157.18	44.70360	39.96429	8600	3.1
157.59	44.70286	39.96502	8700	1.0
157.97	44.70221	39.96568	8800	1.0
158.32	44.70158	39.96632	8900	1.0
158.72	44.70091	39.96701	9000	2.5
